path,bytes,type
09_Splash/DayVector_Splash_Dark_2732x2732.png,160334,png
09_Splash/DayVector_Splash_Light_1080x1920.png,87635,png
09_Splash/DayVector_Splash_Light_1440x900.png,63179,png
09_Splash/DayVector_Splash_Light_1920x1080.png,85776,png
09_Splash/DayVector_Splash_Light_2732x2732.png,159400,png
10_Brand_Data/ANDROID_NOTES.md,200,md
10_Brand_Data/BRAND_GUIDELINES.md,480,md
10_Brand_Data/DayVector.gpl,152,gpl
10_Brand_Data/MIGRATION_CHECKLIST.md,445,md
10_Brand_Data/WINDOWS_NOTES.md,141,md
10_Brand_Data/brand.json,448,json
10_Brand_Data/design-tokens.css,182,css
10_Brand_Data/design-tokens.json,162,json
10_Brand_Data/golden-theme.json,116,json
11_Previews/DayVector_Brand_Board.png,334103,png
README.md,776,md
