| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                                                                                               | remediation                                                                                                            | metadata                                                                                                                                                                                                           | cache_key                                                                                                                                                                            |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.get_my_startup_state()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_my_startup_state`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"get_my_startup_state","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                      | authenticated_security_definer_function_executable_public_get_my_startup_state_                                                                                                      |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.handle_new_user_defaults()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/handle_new_user_defaults`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"handle_new_user_defaults","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                  | authenticated_security_definer_function_executable_public_handle_new_user_defaults_                                                                                                  |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.install_owner_daily_schedule_if_needed()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/install_owner_daily_schedule_if_needed`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"install_owner_daily_schedule_if_needed","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                    | authenticated_security_definer_function_executable_public_install_owner_daily_schedule_if_needed_                                                                                    |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.install_owner_template_if_needed()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/install_owner_template_if_needed`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"install_owner_template_if_needed","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                          | authenticated_security_definer_function_executable_public_install_owner_template_if_needed_                                                                                          |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.is_owner(check_user uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/is_owner`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"is_owner","schema":"public","language":"sql","arguments":"check_user uuid","security_definer":true}                                                                                                       | authenticated_security_definer_function_executable_public_is_owner_check_user uuid                                                                                                   |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.owner_backend_diagnostics()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/owner_backend_diagnostics`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"owner_backend_diagnostics","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                                 | authenticated_security_definer_function_executable_public_owner_backend_diagnostics_                                                                                                 |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.request_account_deletion(confirmation_text text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/request_account_deletion`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"request_account_deletion","schema":"public","language":"plpgsql","arguments":"confirmation_text text","security_definer":true}                                                                            | authenticated_security_definer_function_executable_public_request_account_deletion_confirmation_text text                                                                            |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.set_task_recurrence_state(target_task_id uuid, requested_action text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/set_task_recurrence_state`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"set_task_recurrence_state","schema":"public","language":"plpgsql","arguments":"target_task_id uuid, requested_action text","security_definer":true}                                                       | authenticated_security_definer_function_executable_public_set_task_recurrence_state_target_task_id uuid, requested_action text                                                       |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.skip_task_occurrence(target_task_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/skip_task_occurrence`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"skip_task_occurrence","schema":"public","language":"plpgsql","arguments":"target_task_id uuid","security_definer":true}                                                                                   | authenticated_security_definer_function_executable_public_skip_task_occurrence_target_task_id uuid                                                                                   |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.soft_delete_task(task_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/soft_delete_task`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"soft_delete_task","schema":"public","language":"plpgsql","arguments":"task_id uuid","security_definer":true}                                                                                              | authenticated_security_definer_function_executable_public_soft_delete_task_task_id uuid                                                                                              |
| authenticated_security_definer_function_executable | Signed-In Users Can Execute SECURITY DEFINER Function | WARN  | EXTERNAL | ["SECURITY"] | Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it. | Function `public.sync_profile_email_from_auth()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/sync_profile_email_from_auth`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable | {"name":"sync_profile_email_from_auth","schema":"public","language":"plpgsql","arguments":"","security_definer":true}                                                                                              | authenticated_security_definer_function_executable_public_sync_profile_email_from_auth_                                                                                              |
| auth_leaked_password_protection                    | Leaked Password Protection Disabled                   | WARN  | EXTERNAL | ["SECURITY"] | Leaked password protection is currently disabled.                                                                                                                                                                        | Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.                                                                                                                                                                                                             | https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection               | {"type":"auth","entity":"Auth"}                                                                                                                                                                                    | auth_leaked_password_protection                                                                                                                                                      |
